,Case,Date,Year,Country,Location,Activity,Sex,Age,Fatal
2652,1984.09.30.b,30-Sep-84,1984,USA,"""Turnaround"", Cape Kiwanda, Tillamook County",Swimming/Surfing/Boogie Boarding,M,25,N
2653,1984.09.30.a,30-Sep-84,1984,USA,"Tomales Point, Marin County",,M,,N
2654,1984.09.23,23-Sep-84,1984,USA,Volusia County,Swimming/Surfing/Boogie Boarding,M,17,N
2655,1984.09.22.b,22-Sep-84,1984,USA,,Swimming/Surfing/Boogie Boarding,M,Elderly,N
2656,1984.09.22.a,22-Sep-84,1984,USA,"Indiatlantic, Brevard County",Swimming/Surfing/Boogie Boarding,M,16,N
2657,1984.09.19,19-Sep-84,1984,USA,Volusia County,Swimming/Surfing/Boogie Boarding,Unknown,,U
2658,1984.09.17,17-Sep-84,1984,USA,"Mission Beach, San Diego County",Standing/Wading/Walking,M,,N
2659,1984.09.15,15-Sep-84,1984,USA,"Pigeon Point, San Mateo County",Diving/Scuba Diving/Freediving,M,28,Y
2660,1984.09.11,11-Sep-84,1984,MEXICO,Guadalupe Island,Fishing/Spearfishing,M,,N
2661,1984.08.24,24-Aug-84,1984,USA,"Off Crystal River, Citrus County",,F,31,Y
2662,1984.08.07,07-Aug-84,1984,INDONESIA,Bali,,M,,Y
2663,1984.07.24.b,24-Jul-84,1984,USA,South Padre Island,Swimming/Surfing/Boogie Boarding,F,13,N
2664,1984.07.24.a,24-Jul-84,1984,USA,South Padre Island,Swimming/Surfing/Boogie Boarding,F,18,N
2665,1984.07.22,22-Jul-84,1984,SOUTH AFRICA,Cape Point,Fishing/Spearfishing,M,21,Y
