,Case,Date,Year,Country,Location,Activity,Sex,Age,Fatal
43,2016.06.23,23-Jun-16,2016,SOUTH AFRICA,Ryspunt,Fishing/Spearfishing,M,43,N
44,2016.06.21.b,21-Jun-16,2016,USA,"North Myrtle Beach, Horry County",Standing/Wading/Walking,M,42,N
45,2016.06.21.a,21-Jun-16,2016,USA,"Pelican Beach Park, Satellite Beach, Brevard County",Standing/Wading/Walking,M,,N
46,2016.06.15.b,15-Jun-16,2016,USA,"Kalapaki Beach, Kauai",Swimming/Surfing/Boogie Boarding,M,,N
47,2016.06.15.a,15-Jun-16,2016,AUSTRALIA,Coral Bay,Fishing/Spearfishing,M,19,N
48,2016.06.14,14-Jun-16,2016,USA,"Pirates Beach, Galveston",,F,6,N
49,2016.06.11,11-Jun-16,2016,USA,"Atlantic Beach, Emerald Isle, Carteret County",Standing/Wading/Walking,M,19,N
50,2016.06.07,07-Jun-16,2016,USA,"Folly Beach, Charleston County",Swimming/Surfing/Boogie Boarding,M,27,N
51,2016.06.05.b,05-Jun-16,2016,USA,"Flagler Beach, Flagler County",Swimming/Surfing/Boogie Boarding,M,64,N
52,2016.06.05.a,05-Jun-16,2016,AUSTRALIA,Mindarie,Diving/Scuba Diving/Freediving,F,60,Y
53,2016.06.04,04-Jun-16,2016,EGYPT,Ain Sokhna,Swimming/Surfing/Boogie Boarding,M,23,N
54,2016.06.02.b,02-Jun-16,2016,AUSTRALIA,Kingscliff,Fishing/Spearfishing,M,,U
55,2016.06.02.a,02-Jun-16,2016,NEW CALEDONIA," Côte-Blanche, Nouméa ",Swimming/Surfing/Boogie Boarding,M,,N
56,2016.05.31,31-May-16,2016,AUSTRALIA,"Falcon Beach, Mandurah",Swimming/Surfing/Boogie Boarding,M,29,Y
57,2016.05.29.b,29-May-16,2016,USA,"Corona Del Mar, Newport, Orange County",Swimming/Surfing/Boogie Boarding,F,52,N
58,2016.05.29.a,29-May-16,2016,USA,"Neptune, Duval County",Swimming/Surfing/Boogie Boarding,M,13,N
59,2016.05.22,22-May-16,2016,USA,"Vero Beach, Indian River County",Swimming/Surfing/Boogie Boarding,F,57,N
60,2016.05.21.b,21-May-16,2016,USA,"St. Petersburg, Pinellas County",Swimming/Surfing/Boogie Boarding,F,22,N
61,2016.05.21.a,21-May-16,2016,USA,"Hugenot Beach , Jacksonville, Duval County",Swimming/Surfing/Boogie Boarding,F,11,N
62,2016.05.18,18-May-16,2016,USA,"Ponte Vedra, St. Johns County",Swimming/Surfing/Boogie Boarding,M,48,N
63,2016.05.15,15-May-16,2016,USA,"Boca Raton, Palm Beach County",,F,23,N
64,2016.05.03,03-May-16,2016,USA,"Wailea Beach, Maui",Standing/Wading/Walking,M,59,N
65,2016.05.02,02-May-16,2016,NEW ZEALAND,Cormandel,Fishing/Spearfishing,M,39,N
66,2016.04.25,25-Apr-16,2016,INDONESIA,Balian,Swimming/Surfing/Boogie Boarding,M,24,N
67,2016.04.23,23-Apr-16,2016,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,15,N
68,2016.04.22,22-Apr-16,2016,SOUTH AFRICA,"Robberg Beach, Plettenberg Bay",Kayaking/Canoeing/Rowing,M,,N
69,2016.04.19,19-Apr-16,2016,AUSTRALIA,"First Sun Beach, Byron Bay",Swimming/Surfing/Boogie Boarding,M,12,N
70,2016.04.18,18-Apr-16,2016,FRENCH POLYNESIA,Makemo Atoll,Fishing/Spearfishing,M,26,N
71,2016.04.13,13-Apr-16,2016,USA,"Off Singer Island, Palm Beach County",Fishing/Spearfishing,M,26,N
72,2016.04.09,09-Apr-16,2016,NEW CALEDONIA,Poe Beach,Standing/Wading/Walking,F,69,Y
73,2016.04.08,08-Apr-16,2016,CAPE VERDE,,,M,60,N
74,2016.04.07.b,07-Apr-16,2016,USA,"Florida Keys, Monroe County",Fishing/Spearfishing,M,34,N
75,2016.04.07.a,07-Apr-16,2016,USA,"Corners Beach, Jupiter, Palm Beach County",,M,,N
76,2016.03.31,31-Mar-16,2016,USA,"Olowalu, Maui",Diving/Scuba Diving/Freediving,F,46,N
77,2016.03.30,30-Mar-16,2016,AUSTRALIA,Bombo Beach,Swimming/Surfing/Boogie Boarding,M,22,N
78,2016.03.28.b,28-Mar-16,2016,USA,"Fort Myers Beach, Lee County",,M,Teen,N
79,2016.03.28.a,28-Mar-16,2016,AUSTRALIA,North Cronulla Beach,Swimming/Surfing/Boogie Boarding,M,41,N
80,2016.03.26,26-Mar-16,2016,BAHAMAS,,,M,9,N
81,2016.03.13,13-Mar-16,2016,USA,"Bolsa Chica State Park, Orange County",Swimming/Surfing/Boogie Boarding,Unknown,,N
82,2016.03.11,11-Mar-16,2016,USA,"Vero Beach, St. Lucie County",Swimming/Surfing/Boogie Boarding,M,19,N
83,2016.03.10,10-Mar-16,2016,FIJI,,,M,45,Y
84,2016.03.04,04-Mar-16,2016,USA,"Ocean Reef Park, Singer Island, Palm Beach County",,M,12,N
85,2016.03.03.R,Reported 03-Mar-2016,2016,AUSTRALIA,Wrights Bay,Fishing/Spearfishing,M,,N
86,2016.03.02,02-Mar-16,2016,BRAZIL,Escalerio Beach Balneário Camboriú,Swimming/Surfing/Boogie Boarding,M,41,N
87,2016.02.22,22-Feb-16,2016,NEW CALEDONIA,"Ricaudy Reef, Noumea",Swimming/Surfing/Boogie Boarding,M,21,N
88,2016.02.19, 19-Feb-2016,2016,NEW CALEDONIA,Yate,Fishing/Spearfishing,M,31,N
89,2016.02.12,12-Feb-16,2016,DOMINICAN REPUBLIC,"Bavaro Beach, Punta Cana",Standing/Wading/Walking,F,,N
90,2016.02.10.R,Reported 10-Feb-2016,2016,CAYMAN ISLANDS,Stingray City Bar,,M,65,N
91,2016.02.10,10-Feb-16,2016,AUSTRALIA,Nettley Bay,Swimming/Surfing/Boogie Boarding,M,,N
92,2016.02.05,05-Feb-16,2016,AUSTRALIA,Stradbroke Island,Standing/Wading/Walking,F,45,N
93,2016.02.04,04-Feb-16,2016,AUSTRALIA,Hams Beach,Swimming/Surfing/Boogie Boarding,M,40,N
94,2016.01.29,29-Jan-16,2016,SOUTH AFRICA,,Fishing/Spearfishing,M,,N
95,2016.01.28,28-Jan-16,2016,USA,"Hanalei Bay, Kauai",Swimming/Surfing/Boogie Boarding,M,,N
96,2016.01.25,25-Jan-16,2016,USA,"Hanalei Bay, Kauai, ",Swimming/Surfing/Boogie Boarding,F,15,N
97,2016.01.24.b,24-Jan-16,2016,USA,Off Surfside,Fishing/Spearfishing,M,,N
98,2016.01.24.a,24-Jan-16,2016,UNITED ARAB EMIRATES,35 miles off Fujairah,Fishing/Spearfishing,M,,N
99,2016.01.23,23-Jan-16,2016,USA,"Wailea Beach, Maui",Kayaking/Canoeing/Rowing,M,48,N
100,2016.01.11.R,Reported 11-Jan-2016,2016,AUSTRALIA,"Happy Valley Beach, Caloundra",Swimming/Surfing/Boogie Boarding,M,,N
101,2016.01.05,05-Jan-16,2016,AUSTRALIA,Heron Island,Standing/Wading/Walking,M,11,N
102,2016.01.02,02-Jan-16,2016,AUSTRALIA,Miall Island,Fishing/Spearfishing,M,31,N
103,2015.12.26,26-Dec-15,2015,SOUTH AFRICA,Westbrook Beach,Fishing/Spearfishing,M,,N
104,2015.12.25,25-Dec-15,2015,SPAIN,"Arinaga Beach, Aguimes, Gran Canaria",Swimming/Surfing/Boogie Boarding,F,38,N
105,2015.12.22,22-Dec-15,2015,USA,La'aloa Beach Park,Kayaking/Canoeing/Rowing,M,71,N
106,2015.12.21.b,21-Dec-15,2015,AUSTRALIA,Bondi Beach,Swimming/Surfing/Boogie Boarding,M,43,N
107,2015.12.21.a,21-Dec-15,2015,BRAZIL,Fernano de Noronha,Diving/Scuba Diving/Freediving,M,32,N
108,2015.12.19,19-Dec-15,2015,ARUBA,Boat capsized,Sea Disaster/Murder,M,58,Y
109,2015.12.13,13-Dec-15,2015,AUSTRALIA,Lake Macquarie,Fishing/Spearfishing,Unknown,,N
110,2015.12.11,11-Dec-15,2015,BAHAMAS,Off Andros Island,,M,26,N
111,2015.12.08,08-Dec-15,2015,SOUTH AFRICA,Mpande,,F,22,N
112,2015.11.16,16-Nov-15,2015,USA,"Playalinda Beach, Brevard County",Swimming/Surfing/Boogie Boarding,M,,N
113,2015.11.15.b,15-Nov-15,2015,USA,"Palm Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,F,,N
114,2015.11.15.a,15-Nov-15,2015,USA,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,28,N
115,2015.11.10,10-Nov-15,2015,AUSTRALIA,East Ballina,Swimming/Surfing/Boogie Boarding,M,20,N
116,2015.12.23,07-Nov-15,2015,USA,"Paradise Beach, Melbourne, Brevard County",Swimming/Surfing/Boogie Boarding,F,9,N
117,2015.11.03,03-Nov-15,2015,USA,"Kehena Beach, Hawaii",Swimming/Surfing/Boogie Boarding,M,54,N
118,2015.11.01.b,01-Nov-15,2015,USA,"Cocoa Beach, Brevard  County",Standing/Wading/Walking,F,28,N
119,2015.11.01.a,01-Nov-15,2015,MOZAMBIQUE,Maxixe,Fishing/Spearfishing,M,19,N
120,2015.10.30,30-Oct-15,2015,AUSTRALIA,Bald Island,Fishing/Spearfishing,M,50,N
121,2015.10.28.a,28-Oct-15,2015,USA,"Malaka, Oahu",Swimming/Surfing/Boogie Boarding,M,10,N
122,2015.10.25,25-Oct-15,2015,SOUTH AFRICA,Stil Bay,Swimming/Surfing/Boogie Boarding,M,42,N
123,2015.10.21,21-Oct-15,2015,USA,"Playalinda Beach, Brevard County",Swimming/Surfing/Boogie Boarding,M,21,N
124,2015.10.19,19-Oct-15,2015,USA,"Deerfield Beach, Broward County",Swimming/Surfing/Boogie Boarding,M,21,N
125,2015.10.17.c,17-Oct-15,2015,MOZAMBIQUE,"Nahaduga, Inhambane Bay",,F,35,Y
126,2015.10.17.b,17-Oct-15,2015,USA,"Waikiki, ",Swimming/Surfing/Boogie Boarding,M,32,N
127,2015.10.17.a,17-Oct-15,2015,USA,"Lanikai Beach, Kailua, Oahu",Swimming/Surfing/Boogie Boarding,M,44,N
128,2015.10.13,13-Oct-15,2015,USA,"Off Leffingwell Landing, San Luis Obispo County",Fishing/Spearfishing,M,,N
129,2015.10.09.b,09-Oct-15,2015,USA,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Swimming/Surfing/Boogie Boarding,F,9,N
130,2015.10.09.a,09-Oct-15,2015,USA,"Leftovers, Oahu",Swimming/Surfing/Boogie Boarding,M,25,N
131,2015.10.08,08-Oct-15,2015,MOZAMBIQUE,"Maxixe, Inhambane Bay",Fishing/Spearfishing,M,,N
132,2015.10.07,07-Oct-15,2015,AUSTRALIA,Pyramids Beach,Swimming/Surfing/Boogie Boarding,M,18,N
133,2015.10.05.b,05-Oct-15,2015,USA,"Pepper Park Beach, St. Lucie County",Swimming/Surfing/Boogie Boarding,M,22,N
134,2015.10.05.a,05-Oct-15,2015,USA,Galveston,Standing/Wading/Walking,M,13,N
135,2015.10.04,04-Oct-15,2015,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,14,N
136,2015.09.29,29-Sep-15,2015,USA,"Vilano Beach, St.  Johns County",Swimming/Surfing/Boogie Boarding,M,22,N
137,2015.09.26,26-Sep-15,2015,AUSTRALIA,"Russel Island, Frankland Group",Diving/Scuba Diving/Freediving,F,7,N
138,2015.09.24,24-Sep-15,2015,USA,"Horseshoe Rock, Santa Barbara County",Fishing/Spearfishing,M,,N
139,2015.09.20.d,20-Sep-15,2015,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,14,N
140,2015.09.20.c,20-Sep-15,2015,USA,"Upolu Point, North Kohala, Big Island",Fishing/Spearfishing,M,27,N
141,2015.09.20.b,20-Sep-15,2015,USA,"Fernandina Beach, Amelia Island, Nassau County",Standing/Wading/Walking,M,12,N
142,2015.09.20.a,20-Sep-15,2015,USA,"Vilano Beach, St.  Johns County",,M,16,N
143,2015.09.18,18-Sep-15,2015,USA,"Big Talbot Island, Duval County",Swimming/Surfing/Boogie Boarding,M,,N
144,2015.09.17,17-Sep-15,2015,USA,"Jacksonville Beach, Duval County",Swimming/Surfing/Boogie Boarding,M,20,N
145,2015.09.08,08-Sep-15,2015,AUSTRALIA,North Shelly Beach,Swimming/Surfing/Boogie Boarding,M,42,N
146,2015.09.06,06-Sep-15,2015,USA,"El Pescador Beach, Los Angeles County",,F,50,N
147,2015.09.05,05-Sep-15,2015,USA,"Deer Creek Beach, Ventura County",Fishing/Spearfishing,M,29,N
148,2015.09.04,04-Sep-15,2015,AUSTRALIA,Hallidays Point,Kayaking/Canoeing/Rowing,M,62,N
149,2015.09.03,03-Sep-15,2015,USA,"Myrtle Beach, Horry County",,M,,N
150,2015.09.01,01-Sep-15,2015,THAILAND,Karon Beach,Standing/Wading/Walking,F,37,N
151,2015.09.00,Sep-15,2015,FIJI,,Fishing/Spearfishing,M,,N
152,2015.08.29.b,29-Aug-15,2015,USA,"Morro Strand State Beach, San Luis Obispo County",Swimming/Surfing/Boogie Boarding,F,54,N
153,2015.08.29.a,29-Aug-15,2015,USA,"Morro Bay, San Luis Obispo County",Swimming/Surfing/Boogie Boarding,M,21,N
154,2015.08.22.b,22-Aug-15,2015,USA,"Cocoa Beach, Brevard  County",,M,,N
155,2015.08.22.a,22-Aug-15,2015,AUSTRALIA,Lighthouse Beach,Swimming/Surfing/Boogie Boarding,M,38,N
156,2015.08.20,20-Aug-15,2015,USA,"Murrells Inlet, Georgetown County",Swimming/Surfing/Boogie Boarding,M,15,N
157,2015.08.19,19-Aug-15,2015,USA,"Jacksonville Beach, Duval County",Standing/Wading/Walking,F,10,N
158,2015.08.18.b,18-Aug-15,2015,USA,Santa Barbara County,Fishing/Spearfishing,M,22,N
159,2015.08.18.a,18-Aug-15,2015,SPAIN,"Poniente Beach, Benidorm",Swimming/Surfing/Boogie Boarding,M,10,N
160,2015.08.10,10-Aug-15,2015,USA,Cortes Bank,Fishing/Spearfishing,M,57,N
161,2015.07.31,31-Jul-15,2015,AUSTRALIA,Evans Head,Swimming/Surfing/Boogie Boarding,M,52,N
162,2015.07.26.b,26-Jul-15,2015,USA,"Daytona Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,25,N
163,2015.07.26.a,26-Jul-15,2015,USA,"Edisto Beach, Colleton County",Standing/Wading/Walking,F,35,N
164,2015.07.25,25-Jul-15,2015,AUSTRALIA,"Lachan Island, Mercury Passage",,M,46,Y
165,2015.07.23.b,23-Jul-15,2015,USA,"La Jolla, San Diego County",Fishing/Spearfishing,M,31,N
166,2015.07.23.a,23-Jul-15,2015,AUSTRALIA,Tyrendarra Beach near Portland,Swimming/Surfing/Boogie Boarding,M,40s,N
167,2015.07.22,22-Jul-15,2015,REUNION,St. Leu,Swimming/Surfing/Boogie Boarding,M,45,N
168,2015.07.19,19-Jul-15,2015,SOUTH AFRICA,Jeffrey's Bay,Swimming/Surfing/Boogie Boarding,M,34,N
169,2015.07-10,10-Jul-15,2015,USA,"Huntington Beach, Orange County",Swimming/Surfing/Boogie Boarding,M,38,N
170,2015.07.08,08-Jul-15,2015,USA,"Huntington Beach, Orange County",Standing/Wading/Walking,M,39,N
171,2015.07.06,06-Jul-15,2015,FRENCH POLYNESIA,,Swimming/Surfing/Boogie Boarding,M,,N
172,2015.07.04.b,04-Jul-15,2015,BAHAMAS,"Port Lucaya, Freeport",Fishing/Spearfishing,F,23,N
173,2015.07.04.a,04-Jul-15,2015,USA,"Off Surf City, Pender County",,M,32,N
174,2015.07.03,03-Jul-15,2015,AUSTRALIA,Lennox Head,Swimming/Surfing/Boogie Boarding,M,52,N
175,2015.07.02,02-Jul-15,2015,AUSTRALIA,East Ballina,,M,32,N
176,2015.07.01,01-Jul-15,2015,USA,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming/Surfing/Boogie Boarding,M,68,N
177,2015.06.30.b,30-Jun-15,2015,AUSTRALIA,"Flat Rock, Yamba",Swimming/Surfing/Boogie Boarding,M,,N
178,2015.06.30.a,30-Jun-15,2015,USA,"Isle of Palms County Park, Isle of Palms, Charleston County",,M,12,N
179,2015.06.27.b,27-Jun-15,2015,USA,"Rodanthe, Dare County",Swimming/Surfing/Boogie Boarding,M,18,N
180,2015.06.27.a,27-Jun-15,2015,SOUTH AFRICA,Buffels Bay near Knysna,Swimming/Surfing/Boogie Boarding,M,19,N
181,2015.06.26.c,26-Jun-15,2015,USA,"Jacksonville Beach, Duval County",Swimming/Surfing/Boogie Boarding,F,,N
182,2015.06.26.b,26-Jun-15,2015,SOUTH AFRICA,"Lookout Beach, Plettenberg Bay",Swimming/Surfing/Boogie Boarding,M,23,N
183,2015.06.26.a,26-Jun-15,2015,USA,"South Beach, Hunting Island State Park, Beaufort County",Standing/Wading/Walking,M,43,N
184,2015.06.25.R,Reported 25-Jun-2015,2015,AUSTRALIA,Rottnest Island,Swimming/Surfing/Boogie Boarding,M,19,N
185,2015.06.25,25-Jun-15,2015,USA,"Avon, Hatteras Island, Outer Banks, Dare County",,M,47,N
186,2015.06.24.b,24-Jun-15,2015,USA,Surf City,Swimming/Surfing/Boogie Boarding,M,6,N
187,2015.06.24.a,24-Jun-15,2015,AUSTRALIA,Denmark,Swimming/Surfing/Boogie Boarding,F,37,N
188,2015.06.23,23-Jun-15,2015,USA,"St. Helena Island, Beaufort County",Standing/Wading/Walking,M,9,N
189,2015.06.19,19-Jun-15,2015,PUERTO RICO,Off Cabo Rojo,Fishing/Spearfishing,M,36,N
190,2015.06.17,17-Jun-15,2015,USA,Daytona Beach Shores,Swimming/Surfing/Boogie Boarding,M,10,N
191,2015.06.14.b,14-Jun-15,2015,USA,"Oak Island, Brunswick County",Standing/Wading/Walking,M,16,N
192,2015.06.14.a,14-Jun-15,2015,USA,"Oak Island, Brunswick County",Standing/Wading/Walking,F,12,N
193,2015.06.13,13-Jun-15,2015,USA,Off San Diego,,F,,N
194,2015.06.11,11-Jun-15,2015,USA,"Ocean Isle, Brunswick County",Swimming/Surfing/Boogie Boarding,F,13,N
195,2015.06.07,07-Jun-15,2015,USA,"Lori Wilson Park, Cocoa Beach, Brevard  County",Standing/Wading/Walking,M,11,N
196,2015.06.05,05-Jun-15,2015,USA,Fort Lauderdale,,F,17,N
197,2015.06.01,01-Jun-15,2015,REUNION,Folette,Swimming/Surfing/Boogie Boarding,M,47,N
198,2015.05.29.b,29-May-15,2015,USA,"Cocoa Beach, Brevard  County",Standing/Wading/Walking,F,14,N
199,2015.05.29.a,29-May-15,2015,USA,"New Smyrna Beach, Volusia County",Standing/Wading/Walking,F,19,N
200,2015.05.25,25-May-15,2015,FRENCH POLYNESIA,Avatoru Pass,Fishing/Spearfishing,M,19,N
201,2015.05.24,24-May-15,2015,USA,"Cocoa Beach, Brevard  County",Swimming/Surfing/Boogie Boarding,F,13,N
202,2015.05.20,20-May-15,2015,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,18,N
203,2015.05.15,15-May-15,2015,USA,Sullivan's Island,,M,30,N
204,2015.05.09,09-May-15,2015,NEW CALEDONIA,Kouare ,Diving/Scuba Diving/Freediving,M,50,Y
205,2015.05.07,07-May-15,2015,USA,"Cocoa Beach, Brevard  County",Swimming/Surfing/Boogie Boarding,M,,N
206,2015.05.03,03-May-15,2015,AUSTRALIA,Saltwater Beach,Swimming/Surfing/Boogie Boarding,M,,N
207,2015.05.02,02-May-15,2015,SOUTH AFRICA,Port St. John's,Diving/Scuba Diving/Freediving,M,29,N
208,2015.04.29,29-Apr-15,2015,USA,Kanahena Cove ,Diving/Scuba Diving/Freediving,F,65,Y
209,2015.04.26,26-Apr-15,2015,USA,"Resident's Beach, Marco Island",Standing/Wading/Walking,M,63,N
210,2015.04.25,25-Apr-15,2015,AUSTRALIA,Fishery Bay,Swimming/Surfing/Boogie Boarding,M,26,N
211,2015.04.24.c,24-Jun-15,2015,AUSTRALIA,"Belongil Beach, Byron Bay",Kayaking/Canoeing/Rowing,M,71,N
212,2015.04.13,13-Apr-15,2015,USA,"Florida Keys, Monroe County",,M,48,N
213,2015.04.11,11-Apr-15,2015,AUSTRALIA,McKenzies Beach,Kayaking/Canoeing/Rowing,M,,N
214,2015.04.12,12-Apr-15,2015,REUNION,Cap Homard,Swimming/Surfing/Boogie Boarding,M,13,Y
215,2015.03.31,31-Mar-15,2015,BRAZIL,"Praia del Chifre, Olinda",Swimming/Surfing/Boogie Boarding,M,23,N
216,2015.04.03,03-Apr-15,2015,USA,"3 miles off Jupiter, Palm Beach County",Fishing/Spearfishing,M,70,N
217,2015.03.29,29-Mar-15,2015,ITALY,,Diving/Scuba Diving/Freediving,M,43,Y
218,2015.03.26,26-Mar-15,2015,SOUTH AFRICA,Yellow Sands Point,Fishing/Spearfishing,M,36,N
219,2015.03.21,21-Mar-15,2015,EGYPT,Marsa Alam,Swimming/Surfing/Boogie Boarding,M,52,Y
220,2015.03.18,18-Mar-15,2015,USA,Hapuna Beach,,M,58,N
221,2015.03.16,16-Mar-15,2015,FRENCH POLYNESIA,Anau,,M,9,N
222,2015.03.11,11-Mar-15,2015,AUSTRALIA,"Julian Rocks, Byron Bay",Fishing/Spearfishing,M,,N
223,2015.03.10,10-Mar-15,2015,MEXICO,Mazlatan,Fishing/Spearfishing,M,36,N
224,2015.03.07,07-Mar-15,2015,FRENCH POLYNESIA,"Tupapati, Hikueru Atoll",,M,18 months,N
225,2015.02.15,15-Feb-15,2015,ATLANTIC OCEAN,,,Unknown,,N
226,2015.02.14,14-Feb-15,2015,REUNION,Ravine Mula,Swimming/Surfing/Boogie Boarding,F,22,Y
227,2015.02.09,09-Feb-15,2015,AUSTRALIA,Shelly Beach,Swimming/Surfing/Boogie Boarding,M,41,Y
228,2015.02.08,08-Feb-15,2015,AUSTRALIA,"Seven Mile Beach, Byron Bay",Swimming/Surfing/Boogie Boarding,M,35,N
229,2015.02.05,05-Feb-15,2015,AUSTRALIA,Mereweather Beach,,M,,N
230,2015.01.30,30-Jan-15,2015,AUSTRALIA,"Nerang River, Surfer's  Paradise",Kayaking/Canoeing/Rowing,M,57,N
231,2015.01.27,27-Jan-15,2015,USA,Lahaina,Fishing/Spearfishing,M,20,N
232,2015.01.24,24-Jan-15,2015,AUSTRALIA,Flat Rock,Swimming/Surfing/Boogie Boarding,M,,N
233,2015.01.19.b,19-Jan-15,2015,USA,Off Panama City,Fishing/Spearfishing,M,,N
234,2015.01.19.a,19-Jan-15,2015,AUSTRALIA,"Wategos Beach, Byon Bay",,F,,N
235,2015.01.17,17-Jan-15,2015,AUSTRALIA,Off Blacksmith Beach,Fishing/Spearfishing,M,,N
236,2015.01.16,16-Jan-15,2015,AUSTRALIA,"Mollymook Beach, Bannister Head",,M,17,N
237,2015.01.08,08-Jan-15,2015,USA,,,M,38,N
238,2015.01.06,06-Jan-15,2015,BAHAMAS,"Tahiti Beach, Elbow Cay",Diving/Scuba Diving/Freediving,F,34,N
239,2015.01.03,03-Jan-15,2015,SOUTH AFRICA,Chintsa East Beach,Swimming/Surfing/Boogie Boarding,M,15,N
240,2015.01.01,01-Jan-15,2015,USA,"Windsor Beach, Indian River County",,M,12,N
241,2014.12.29.b,29-Dec-14,2014,AUSTRALIA,Bherwerre Beach,Swimming/Surfing/Boogie Boarding,Unknown,,N
242,2014.12.29.a,29-Dec-14,2014,AUSTRALIA,Three Stripes near Cheynes Beach,Fishing/Spearfishing,M,17,Y
243,2014.12.28.d,28-Dec-14,2014,GREECE,33 nautical miles off Othonoi Island,,Unknown,,N
244,2014.12.28.c,28-Dec-14,2014,SOUTH AFRICA,Durban,Swimming/Surfing/Boogie Boarding,Unknown,,N
245,2014.12.28.b,28-Dec-14,2014,USA,"Montaña de Oro State Park, San Luis Obispo County ",Swimming/Surfing/Boogie Boarding,M,50,N
246,2014.12.28.a,28-Dec-14,2014,AUSTRALIA,Paradise Beach,Fishing/Spearfishing,M,40s,N
247,2014.12.23.R,Reported 23-Dec-2014,2014,JAPAN,,,M,,N
248,2014.12.15,15-Dec-14,2014,AUSTRALIA,Rudder Reef,Fishing/Spearfishing,M,17,Y
249,2014.12.03.R,Reported 03-Dec-2014,2014,SPAIN,Off Motril,,M,,N
250,2014.11.29,29-Nov-14,2014,AUSTRALIA,"Pyramids Beach, Port Bouvard",Swimming/Surfing/Boogie Boarding,M,13,N
251,2014.11.20,20-Nov-14,2014,MAURITIUS,,Fishing/Spearfishing,M,39,Y
252,2014.11.19,19-Nov-14,2014,AUSTRALIA,Freo,Fishing/Spearfishing,M,,N
253,2014.11.16,16-Nov-14,2014,USA,"Indian Harbor Beach, Brevard County",Swimming/Surfing/Boogie Boarding,M,44,N
254,2014.11.17,Reported 17-Nov-2014,2014,USA,"Franklin Point, San Mateo County",,Unknown,,N
255,2014.11.13,13-Nov-14,2014,USA,"Airplane Beach, Lahina, West Maui",Diving/Scuba Diving/Freediving,M,53,N
256,2014.11.10,10-Nov-14,2014,AUSTRALIA,Moonee Beach,Swimming/Surfing/Boogie Boarding,M,,N
257,2014.11.08,08-Nov-14,2014,USA,"Fort Pierce Inlet State Park, St. Lucie County",Swimming/Surfing/Boogie Boarding,M,18,N
258,2014.10.31,31-Oct-14,2014,USA,"North Kohala, Hawaii County",Swimming/Surfing/Boogie Boarding,F,34,N
259,2014.10.30,29-Oct-14,2014,AUSTRALIA,Wallabi Point,Swimming/Surfing/Boogie Boarding,M,20,N
260,2014.10.22,22-Oct-14,2014,USA,"Kihei, Maui",,F,,N
261,2014.10.20,20-Oct-14,2014,USA,"Kahului, Maui",,M,,N
262,2014.10.19,19-Oct-14,2014,USA,"Leadbetter Beach, Santa Barbara County",Kayaking/Canoeing/Rowing,F,,N
263,2014.10.18,18-Oct-14,2014,USA,"Maalaea, South Maui",Swimming/Surfing/Boogie Boarding,M,,N
264,2014.10.17,17-Oct-14,2014,AUSTRALIA,Avoca Beach,Swimming/Surfing/Boogie Boarding,F,13,N
265,2014.10.14,14-Oct-14,2014,USA,"Hilton Head Island, Beaufort County",,F,7,N
266,2014.10.12,12-Oct-14,2014,USA,"Melbourne Beach, Brevard County",,F,,N
267,2014.10.07,07-Oct-14,2014,USA,"Cherie Down Park, Brevard County",Fishing/Spearfishing,F,40,N
268,2014.10.11,11-Oct-14,2014,AUSTRALIA,"Castle Rock, north of Dunsborough",Kayaking/Canoeing/Rowing,M,,N
269,2014.10.05.b,05-Oct-14,2014,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,29,N
270,2014.10.05.a,05-Oct-14,2014,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,15,N
271,2014.10.03.b,03-Oct-14,2014,USA,Santa Barbara County,Kayaking/Canoeing/Rowing,M,,N
272,2014.10.03.a,03-Oct-14,2014,USA,Santa Barbara County,,M,,N
273,2014.10.02.b,02-Oct-14,2014,USA,"Walls Beach, Vandenberg AFB, Santa Barbara County",Swimming/Surfing/Boogie Boarding,M,28,N
274,2014.10.02.a,02-Oct-14,2014,AUSTRALIA,"Kelpids Beach, Wylie Bay, Esperance",Swimming/Surfing/Boogie Boarding,M,23,N
275,2014.09.21,21-Sep-14,2014,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,,N
276,2014.09.13.R,Reported 12-Sep-2014,2014,FRENCH POLYNESIA,Tiahura Lagoon,,F,36,N
277,2014.09.13,13-Sep-14,2014,USA,"Manresa State Beach, Santa Cruz County",Swimming/Surfing/Boogie Boarding,M,,N
278,2014.09.09,09-Sep-14,2014,AUSTRALIA,"Clarkes Beach, Byron Bay",Swimming/Surfing/Boogie Boarding,M,50,Y
